Genetic ID,Master ID,Skeletal code,Skeletal element,"Year data from this individual was first published [for a present-day individuals we give the data of the data reported here; missing GreenScience 2010 (Vi33.15, Vi33.26), Olalde2018 (I2657), RasmussenNature2010 (Australian)]",Publication,"Method for Determining Date; unless otherwise specified, calibrations use 95.4% intervals from OxCal v4.4.2 Bronk Ramsey (2009); r5; Atmospheric data from Reimer et al (2020)","Date mean in BP in years before 1950 CE [OxCal mu for a direct radiocarbon date, and average of range for a contextual date]","Date standard deviation in BP [OxCal sigma for a direct radiocarbon date, and standard deviation of the uniform distribution between the two bounds for a contextual date]","Full Date One of two formats. (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age BP, Lab number) e.g. 2624-2350 calBCE (3990±40 BP, Ua-35016). (Format 2) Archaeological context range, e.g. 2500-1700 BCE",Age at Death from physical anthropology,Group ID,Locality,Political Entity,Lat.,Long.,Pulldown Strategy,Data source,No. Libraries,1240k coverage (taken from original pulldown where possible),SNPs hit on autosomal targets (Computed using easystats on 1240k snpset),SNPs hit on autosomal targets (Computed using easystats on HO snpset),Molecular Sex,Family ID and position within family,Y haplogroup (manual curation in terminal mutation format),Y haplogroup (manual curation in ISOGG format),mtDNA coverage (merged data),mtDNA haplogroup if >2x or published,mtDNA match to consensus if >2x (merged data),Damage rate in first nucleotide on sequences overlapping 1240k targets (merged data),Sex ratio [Y/(Y+X) counts] (merged data),"Library type (minus=no.damage.correction, half=damage.retained.at.last.position, plus=damage.fully.corrected, ds=double.stranded.library.preparation, ss=single.stranded.library.preparation)",Libraries,ASSESSMENT,"ASSESSMENT WARNINGS (Xcontam interval is listed if lower bound is >0.005, ""QUESTIONABLE"" if lower bound is 0.01-0.02, ""QUESTIONABLE_CRITICAL"" or ""FAIL"" if lower bound is >0.02) (mtcontam confidence interval is listed if coverage >2 and upper bound is <0.",
IR1_noUDG.SG,I1503,"HUNG418, IR1",petrous,2014,GambaNatureCommunications2014,Direct: IntCal20,2849,43,"983-831 calBCE (2763±26 BP, OxA-27860)",..,Hungary_IA_Prescythian.SG,Ludas-Varju-Dulo,Hungary,47.82,19.95,Repulldown on 3.2M snpset,Shotgun,..,1.117,778678,402271,M,n/a (no relatives detected),..,N,..,G2a1,..,..,..,ds.minus,..,PASS,Xcontam=0.006,
I20766,I20766,WTR-HUNG152 (FR15120081),tooth,2021,HarneyCheronetGenomeResearch2021,Context: Archaeological - Period,2100,144,400 BCE - 100 CE,..,Hungary_IA_Scythian,Kesznyéten-Szérűskert,Hungary,47.9822,21.0604,Repulldown on 3.2M snpset,1240K,1,0.21,203952,107524,M,n/a (no relatives detected),..,..,49.72,X2b4a,"[0.989,0.999]",0.166,0.403,ss.half,S20766.Y1.E1.L1,PASS,..,
I20767,I20767,WTR-HUNG153 (FR15120027),tooth,2021,HarneyCheronetGenomeResearch2021,Context: Archaeological - Period,2100,144,400 BCE - 100 CE,..,Hungary_IA_Scythian,"Kesznyéten-Szérűskert; Great Hungarian Plain, Borsodi-Mezőség",Hungary,47.9822,21.0604,Repulldown on 3.2M snpset,1240K,1,0.049,51836,27422,M,n/a (no relatives detected),..,..,330.7,U5a1j,"[0.989,0.999]",0.172,0.377,ss.half,S20767.Y1.E1.L1,PASS,..,
I20747,I20747,MDE-HUNG161 (FR15120069),tooth,2021,HarneyCheronetGenomeResearch2021,Context: Archaeological - Period,2100,144,400 BCE - 100 CE,..,Hungary_IA_Scythian_lc,Kesznyéten-Szérűskert,Hungary,47.9822,21.0604,Repulldown on 3.2M snpset,1240K,1,0.008,8823,4658,M,n/a (no relatives detected),..,..,3.459,H82,"[0.769,0.920]",0.18,0.357,ss.half,S20747.Y1.E1.L1,QUESTIONABLE,"mtcontam=[0.769,0.92]",
DA198_noUDG.SG,DA198,"CGG_2_019179, Sandorfalva ‚Äì Eperjes 2 143 9447, Sandorfalva ‚Äì Eperjes 2 143 9447",..,2018,DamgaardNature2018,Direct: IntCal20,2441,87,"737-392 calBCE (2388±36 BP, UBA-33598)",..,Hungary_IA_Scythian_oAegean.SG,..,Hungary,46.34444444,20.1625,Repulldown on 3.2M snpset,Shotgun,..,0.672,466087,241546,M,n/a (no relatives detected),..,..,..,H7a1,..,..,..,ds.minus,..,PASS,..,
DA191_noUDG.SG,DA191,"CGG_2_019172, Tiszaszolos- Czalanyszeg 4 19 3123, Tiszaszolos- Czalanyszeg 4 19 3123",..,2018,DamgaardNature2018,Direct: IntCal20,2472,100,"749-397 calBCE (2409±37 BP, UBA-33595)",..,Hungary_IA_Scythian.SG,..,Hungary,47.55944444,20.70805556,Repulldown on 3.2M snpset,Shotgun,..,0.889,484031,248803,F,n/a (no relatives detected),n/a (female),n/a (female),..,H2a2,..,..,..,ds.minus,..,PASS,..,
DA194_noUDG.SG,DA194,"CGG_2_019188, Sandorfalva ‚Äì Eperjes 11 118 9423, Sandorfalva ‚Äì Eperjes 11 118 9423",..,2018,DamgaardNature2018,Direct: IntCal20,2328,64,"513-211 calBCE (2322±36 BP, UBA-33596)",..,Hungary_IA_Scythian.SG,..,Hungary,46.34444444,20.1625,Repulldown on 3.2M snpset,Shotgun,..,0.754,504581,262885,F,n/a (no relatives detected),n/a (female),n/a (female),..,I2a,..,..,..,ds.minus,..,PASS,..,
DA195_noUDG.SG,DA195,"CGG_2_019187, Sandorfalva ‚Äì Eperjes 10 125 9430, Sandorfalva ‚Äì Eperjes 10 125 9430",..,2018,DamgaardNature2018,Direct: IntCal20,2572,90,"772-423 calBCE (2479±35 BP, UBA-33597)",..,Hungary_IA_Scythian_oAegean.SG,..,Hungary,46.34444444,20.1625,Repulldown on 3.2M snpset,Shotgun,..,0.871,544224,288518,F,n/a (no relatives detected),n/a (female),n/a (female),..,H+16311,..,..,..,ds.minus,..,PASS,..,
DA197_noUDG.SG,DA197,"CGG_2_019185, Sandorfalva ‚Äì Eperjes 8 168 9466, Sandorfalva ‚Äì Eperjes 8 168 9466",..,2018,DamgaardNature2018,Direct: IntCal20,2426,79,"726-389 calBCE (2378±35 BP, UBA-33600)",..,Hungary_IA_Scythian.SG,..,Hungary,46.34444444,20.1625,Repulldown on 3.2M snpset,Shotgun,..,0.49,355823,182486,M,n/a (no relatives detected),..,..,..,H2a2a1,..,..,..,ds.minus,..,PASS,..,
I18259,I18259,3235 (Grave no. 45),petrous,2021,PattersonNature2021,Context: Archaeological - Period,2310,35,420-300 BCE,..,Hungary_IA_Syrmian_SremGroup,"Csongrád-Csanád county, Szeged-Kiskundorozsma-Sandpit 5",Hungary,46.278625,20.057699,Repulldown on 3.2M snpset,1240K,1,2.261906,742598,410632,F,n/a (no relatives detected),n/a (female),n/a (female),196.6,I1a1,"[0.975,0.992]",0.122,0.010749967,ds.half,S18259.Y1.E1.L1,PASS,..,
I18489,I18489,"S10007 (1548, inv. 2250)",petrous,2021,PattersonNature2021,Context: Archaeological - Period,2240,17,320-260 BCE,..,Hungary_LaTene,"Győr-Moson-Sopron county, Markotabödöge-Mohos-tóra-dűlő",Hungary,47.688333,17.298056,Repulldown on 3.2M snpset,1240K,1,3.932,840545,463633,M,n/a (no relatives detected),..,..,169.3,H58,"[0.975,0.996]",0.138,0.424,ds.half,S18489.Y1.E2.L1,PASS,..,
I18491,I18491,"S10010 (1529, inv. 1608)",petrous,2021,PattersonNature2021,Context: Archaeological - Period,2240,17,320-260 BCE,..,Hungary_LaTene,"Győr-Moson-Sopron county, Markotabödöge-Mohos-tóra-dűlő",Hungary,47.688333,17.298056,Repulldown on 3.2M snpset,1240K,1,6.323,864483,474657,F,n/a (no relatives detected),n/a (female),n/a (female),201.7,J1c3,"[0.983,0.997]",0.126,0.013,ds.half,S18491.Y1.E2.L1,PASS,..,
I18492,I18492,"S10011 (1187, inv. 939)",petrous,2021,PattersonNature2021,Context: Archaeological - Period,2240,17,320-260 BCE,..,Hungary_LaTene,"Győr-Moson-Sopron county, Markotabödöge-Mohos-tóra-dűlő",Hungary,47.688333,17.298056,Repulldown on 3.2M snpset,1240K,1,6.906,862554,473364,M,n/a (no relatives detected),..,..,212.7,H58,"[0.966,0.990]",0.119,0.441,ds.half,S18492.Y1.E2.L1,PASS,..,
I18493,I18493,"S10012 (1572, inv. 1986)",petrous,2021,PattersonNature2021,Context: Archaeological - Period,2240,17,320-260 BCE,..,Hungary_LaTene,"Győr-Moson-Sopron county, Markotabödöge-Mohos-tóra-dűlő",Hungary,47.688333,17.298056,Repulldown on 3.2M snpset,1240K,1,5.462,828537,457340,F,n/a (no relatives detected),n/a (female),n/a (female),185.2,H1+16311,"[0.987,0.999]",0.116,0.014,ds.half,S18493.Y1.E2.L1,PASS,..,
I20751,I20751,"MDE-HUNG863 (FR15120099) | P7141 (S67, 2015.1.7.)",tooth,2021,HarneyCheronetGenomeResearch2021,Context: Archaeological - Period,3200,144,1500-1000 BCE,..,Hungary_LBA,"Besenyszög Berek-ér partja, Köröm-Kápolnadomb",Hungary,47.20943056,20.26306944,Repulldown on 3.2M snpset,1240K,3,4.913,846153,455678,F,n/a (no relatives detected),n/a (female),n/a (female),225.550727,H26c,"[0.967,0.987]",0.168,0.014805524,"ss.half,ss.half,ss.half","S20751.Y1.E1.L1,S20773.Y1.E1.L1,S20803.Y1.E1.L1",PASS,..,
I25504,I25504,"IAP046 (IAP046; ""a"" pit L8)",petrous,2021,PattersonNature2021,"Context: Date(s) from other individuals at same site (I25508,I25507,I25505)",2875,72,1050-800 BCE,..,Hungary_LBA,"Vas county, Kápolnadomb, Gór",Hungary,47.353728,16.794725,Repulldown on 3.2M snpset,1240K,1,9.415,879671,484214,M,n/a (no relatives detected),..,..,134.8,H79,"[0.982,0.997]",0.061,0.443,ds.half,S25504.Y1.E1.L1,PASS,..,
I25505,I25505,"IAP047 (IAP047; H-7 ""a/1"")",tooth (molar),2021,PattersonNature2021,Direct: IntCal20,2911,36,"1046-900 calBCE (2810±25 BP, PSUAMS-10138)",..,Hungary_LBA,"Vas county, Kápolnadomb, Gór",Hungary,47.353728,16.794725,Repulldown on 3.2M snpset,1240K,1,0.613,449042,246407,F,n/a (no relatives detected),n/a (female),n/a (female),345.1,H60a,"[0.995,1.000]",0.096,0.009,ds.half,S25505.Y1.E1.L1,PASS,..,
I20749,I20749,MDE-HUNG272 (FR15120075) | WTR-HUNG272 (FR15948777),tooth,2021,HarneyCheronetGenomeResearch2021,Context: Archaeological - Period,3200,260,1700-800 BCE,..,Hungary_LBA_Halva,Hajdudorog-Szallasfold,Hungary,47.886423,21.50243,Repulldown on 3.2M snpset,1240K,2,0.748,531976,280657,F,n/a (no relatives detected),n/a (female),n/a (female),133.448488,J1c3,"[0.981,0.996]",0.217,0.013710775,"ss.half,ss.half","S20749.Y1.E1.L1,S20771.Y1.E1.L1",PASS,..,
I25523,I25523,IAP065 (IAP065; 599),tooth (molar),2021,PattersonNature2021,Context: Archaeological - Period,2950,115,1200-800 BCE,Hungary_LBA_lc,Hungary_LBA_IA_lc,"Somogy county, Kútvölgyi-dűlő, Zamárdi (sites 56 and 89)",Hungary,46.875901,17.96734,Repulldown on 3.2M snpset,1240K,1,0.013,14491,7870,M,n/a (no relatives detected),..,..,105.7,H2a,"[0.983,0.997]",0.118,0.399,ds.half,S25523.Y1.E1.L1,PASS,..,
I1504,I1504,"HUNG381, BR2",petrous,2014,MathiesonNature2015 (capture of same sample shotgunned in Gamba2014),Direct: IntCal20,2858,43,"987-833 calBCE (2769±24 BP, OxA-27859)",..,Hungary_LBA_Kyjatice,Ludas-Varjú dűlő,Hungary,47.725107,20.086185,Repulldown on 3.2M snpset,1240K,1,1.332,674457,368045,M,"Hungary, Ludas-Varj� d_l_, Family A (2 members) I18209-I1504 have a mother-son relationship",..,..,320,K1a1a,"[0.993,0.999]",0.102,0.428,ds.half,S1504.E1.L1,PASS,..,
BR2_noUDG.SG,I1504,"HUNG381, BR2",petrous,2014,GambaNatureCommunications2014,Direct: IntCal20,2858,43,"987-833 calBCE (2769±24 BP, OxA-27859)",..,Hungary_LBA_Kyjatice.SG,Ludas-Varjú dűlő,Hungary,47.725107,20.086185,Repulldown on 3.2M snpset,Shotgun,..,19.164,1150313,593104,M,"Hungary, Ludas-Varj� d_l_, Family A (2 members) I18209-I1504 have a mother-son relationship",..,J2a1,..,K1a1a,..,..,..,ds.minus,..,PASS,..,
MS10614_noUDG.SG,MS10614,MS10614,tooth,2018,ZallouaScientificReports2018,Direct (WARNING MISSING LAB CODE): IntCal20,2217,63,"368-165 calBCE (2190±30 BP, Beta-)",..,Ibiza_Punic.SG,"Balearic Islands, Ibiza, Saint Antoni de Portmany, Can Portes d'es Jurat hipogeo Ca's Moli",Spain,38.980833,1.300556,Repulldown on 3.2M snpset,Shotgun,..,0.401043,334990,178570,F,n/a (no relatives detected),n/a (female),n/a (female),..,T2b,..,..,..,ds.minus,..,PASS,..,
In662.SG,In662,"17662, U1 T1-3",tooth,2018,McCollScience2018,Direct: IntCal20,2161,83,"353-57 calBCE (2152±26 BP, OxA-35574)",..,Indonesia_LN_BA_IA.SG,"Sumatra, Northwest Aceh, Loyang Ujung Cave",Indonesia,4.6454,96.856,Repulldown on 3.2M snpset,Shotgun,..,0.087709,119092,60544,M,n/a (no relatives detected),..,..,..,M20,..,0.24,..,ds.plus,..,PASS,..,
In661.WGC,In661,"17661, NA",bone (long bone),2018,McCollScience2018,Direct: IntCal20,1827,45,"30-209 calCE (1917±25 BP, OxA-35441)",..,Indonesia_LN_BA_IA.WGC,"Sumatra, Northwest Aceh, Loyang Ujung Cave",Indonesia,4.6454,96.856,Repulldown on 3.2M snpset,whole.genome.capture,..,0.046738,63246,30789,F,n/a (no relatives detected),n/a (female),n/a (female),..,F1a1a,..,0.35,..,ds.plus,..,PASS,..,
I3911_noUDG,I3911,DT1; 69-33-1,petrous,2022,LazaridisAlpaslanRoodenbergScience2022,Context: Archaeological - Period,3450,289,2000-1000 BCE,..,Iran_DinkhaTepe_BA_IA_1_noUDG,Dinkha Tepe,Iran,37.00786335,45.16575874,1240K pulldown padded to 3.2M snpset,1240K,2,6.512,971742,522281,M,n/a (no relatives detected),..,..,707.122216,J1b8,"[0.965,0.991]",..,..,"ds.minus,ds.half","S3911.E1.L1,S3911.E1.L2",PASS_WHY_COV_LESS_THAN_UDG_FULLY_TREATED_VERSION,..,
I4237_noUDG,I4237,66-23-374 (Box 82),petrous,2022,LazaridisAlpaslanRoodenbergScience2022,Direct: IntCal20,2898,33,"1011-860 calBCE (2795±20 BP, PSUAMS-2621)",..,Iran_DinkhaTepe_BA_IA_1_noUDG,Dinkha Tepe,Iran,37.00786335,45.16575874,1240K pulldown padded to 3.2M snpset,1240K,2,3.737747,874720,475635,F,n/a (no relatives detected),n/a (female),n/a (female),..,K1a12a,..,..,0.008,"ds.minus,ds.half","S4237.E1.L1,S4237.E1.L2",PASS_WHY_COV_LESS_THAN_UDG_FULLY_TREATED_VERSION,..,
I4236_noUDG,I4236,66-23-370 (Box 80),petrous,2022,LazaridisAlpaslanRoodenbergScience2022,Context: Archaeological - Period,3450,289,2000-1000 BCE,..,Iran_DinkhaTepe_BA_IA_2,Dinkha Tepe,Iran,37.00786335,45.16575874,Repulldown on 3.2M snpset,1240K,1,4.113606,793157,433955,F,n/a (no relatives detected),n/a (female),n/a (female),454,H2a1,"[0.981,0.998]",0.246,0.018,ds.minus,S4236.E1.L1,PASS,..,
I4340_noUDG,I4340,66-23-400 (Box 99),petrous,2022,LazaridisAlpaslanRoodenbergScience2022,Direct: IntCal20,3291,39,"1411-1274 calBCE (3075±20 BP, PSUAMS-2958)",..,Iran_DinkhaTepe_BA_IA_2,Dinkha Tepe,Iran,37.00786335,45.16575874,Repulldown on 3.2M snpset,1240K,1,2.443,635462,347874,F,n/a (no relatives detected),n/a (female),n/a (female),380,T2c1c,"[0.984,0.995]",0.277,0.012,ds.minus,S4340.E1.L1,PASS,..,
I3914_noUDG,I3914,DT377; 66-23-377,petrous,2022,LazaridisAlpaslanRoodenbergScience2022,Direct: IntCal20,3028,43,"1192-1008 calBCE (2895±20 BP, PSUAMS-2107)",..,Iran_DinkhaTepe_BA_IA_2_noUDG,Dinkha Tepe,Iran,37.00786335,45.16575874,1240K pulldown padded to 3.2M snpset,1240K,2,6.252,982524,525166,F,n/a (no relatives detected),n/a (female),n/a (female),199.174784,J1b6,"[0.975,0.994]",..,..,"ds.minus,ds.half","S3914.E1.L1,S3914.E1.L2",PASS_WHY_COV_LESS_THAN_UDG_FULLY_TREATED_VERSION,..,
I3915_noUDG,I3915,DT389; 66-23-389,petrous,2022,LazaridisAlpaslanRoodenbergScience2022,Direct: IntCal20,2877,39,"1002-841 calBCE (2780±20 BP, PSUAMS-4448)",..,Iran_DinkhaTepe_BA_IA_2_noUDG,Dinkha Tepe,Iran,37.00786335,45.16575874,1240K pulldown padded to 3.2M snpset,1240K,2,8.782,979003,527070,M,n/a (no relatives detected),..,..,351.677953,U2e1b,"[0.954,0.983]",..,..,"ds.minus,ds.half","S3915.E1.L1,S3915.E1.L2",PASS_WHY_COV_LESS_THAN_UDG_FULLY_TREATED_VERSION,"Xcontam=[0.006,0.016]",
I4238_noUDG,I4238,66-23-393(Box 90),petrous,2022,LazaridisAlpaslanRoodenbergScience2022,Direct: IntCal20,3112,36,"1224-1056 calBCE (2950±15 BP, PSUAMS-2770)",..,Iran_DinkhaTepe_BA_IA_2_noUDG,Dinkha Tepe,Iran,37.00786335,45.16575874,1240K pulldown padded to 3.2M snpset,1240K,2,5.145,937915,505078,M,n/a (no relatives detected),..,..,510.065001,U3b3,"[0.949,0.98]",..,..,"ds.minus,ds.half","S4238.E1.L1,S4238.E1.L2",PASS_WHY_COV_LESS_THAN_UDG_FULLY_TREATED_VERSION,..,
I4239_noUDG,I4239,66-23-396(Box 94),petrous,2022,LazaridisAlpaslanRoodenbergScience2022,Direct: IntCal20,3257,48,"1391-1221 calBCE (3040±20 BP, PSUAMS-2162)",..,Iran_DinkhaTepe_BA_IA_2_noUDG,Dinkha Tepe,Iran,37.00786335,45.16575874,1240K pulldown padded to 3.2M snpset,1240K,2,6.255,943530,510438,F,n/a (no relatives detected),n/a (female),n/a (female),733.562134,T2,"[0.957,0.987]",..,..,"ds.minus,ds.half","S4239.E1.L1,S4239.E1.L2",PASS_WHY_COV_LESS_THAN_UDG_FULLY_TREATED_VERSION,..,
I4273_noUDG,I4273,66-23-387 (Box 86),petrous,2022,LazaridisAlpaslanRoodenbergScience2022,Direct: IntCal20,2967,44,"1111-931 calBCE (2855±20 BP, PSUAMS-2983)",..,Iran_DinkhaTepe_BA_IA_2_noUDG,Dinkha Tepe,Iran,37.00786335,45.16575874,1240K pulldown padded to 3.2M snpset,1240K,2,5.07,901284,487784,F,n/a (no relatives detected),n/a (female),n/a (female),305.032772,T2d2,"[0.986,0.996]",..,..,"ds.minus,ds.half","S4273.E1.L1,S4273.E1.L2",PASS_WHY_COV_LESS_THAN_UDG_FULLY_TREATED_VERSION,..,
I2327,I2327,FH8 (K10 B1) | K10 B1,tooth (molar),2019,NarasimhanPattersonScience2019,Direct: IntCal20,3050,48,"1201-1015 calBCE (2910±20 BP, PSUAMS-4413)",..,Iran_HajjiFiruz_IA,Hajji Firuz,Iran,36.9944,45.4744,Repulldown on 3.2M snpset,1240K,4,0.641309,479274,258945,M,n/a (no relatives detected),..,..,536.653992,K1a17,"[0.985,0.997]",..,..,"ds.half,ds.half,ds.half,ds.half","S2327.E1.L2,S2327.E1.L3,S2327.E1.L4,S2327.E1.L5",PASS,..,
I2327_noUDG,I2327,FH8; K10 B1,tooth (molar),2019,LazaridisAlpaslanRoodenbergScience2022 (higher coverage of previously reported individual from NarasimhanPattersonScience2019),Direct: IntCal20,3050,48,"1201-1015 calBCE (2910±20 BP, PSUAMS-4413)",..,Iran_HajjiFiruz_IA_noUDG,Hajji Firuz,Iran,36.9944,45.4744,1240K pulldown padded to 3.2M snpset,1240K,6,4.803,844172,462076,M,n/a (no relatives detected),..,..,536.653992,K1a17,"[0.986,0.997]",..,..,"ds.minus,ds.minus,ds.half,ds.half,ds.half,ds.half","S4350.E1.L1,S2327.E1.L1,S2327.E1.L2,S2327.E1.L3,S2327.E1.L4,S2327.E1.L5",PASS,..,
I4338_noUDG,I4338,65-31-768 (Box 60),petrous,2022,LazaridisAlpaslanRoodenbergScience2022,Direct: IntCal20,2582,83,"761-479 calBCE (2470±20 BP, PSUAMS-2984)",..,Iran_Hasanlu_IA,Hasanlu,Iran,37.005,45.459,Repulldown on 3.2M snpset,1240K,1,2.866,688256,376754,F,n/a (no relatives detected),n/a (female),n/a (female),440,T2d2,"[0.985,0.995]",0.198,0.011,ds.minus,S4338.E1.L1,PASS,..,
I4353_noUDG,I4353,60-20-232,petrous,2022,LazaridisAlpaslanRoodenbergScience2022,Direct: IntCal20,2911,36,"1046-900 calBCE (2810±25 BP, PSUAMS-2150)",..,Iran_Hasanlu_IA,Hasanlu,Iran,37.005,45.459,Repulldown on 3.2M snpset,1240K,1,3.768,706550,388879,M,n/a (no relatives detected),..,..,296,HV1a'b'c,"[0.980,0.995]",0.141,0.424,ds.minus,S4353.E1.L1,PASS,"Xcontam=[0.009,0.017]",
I4355_noUDG,I4355,71-23-545 (Box 119),petrous,2022,LazaridisAlpaslanRoodenbergScience2022,Direct: IntCal20,2898,33,"1011-860 calBCE (2795±20 BP, PSUAMS-2772)",..,Iran_Hasanlu_IA,Hasanlu,Iran,37.005,45.459,Repulldown on 3.2M snpset,1240K,1,1.297,516035,280160,M,n/a (no relatives detected),..,..,166,J2b1,"[0.995,1.000]",..,0.434,ds.minus,S4355.E1.L1,PASS,..,
I4356_noUDG,I4356,65-31-765,petrous,2022,LazaridisAlpaslanRoodenbergScience2022,Direct: IntCal20,2967,44,"1111-931 calBCE (2855±20 BP, PSUAMS-2773)",..,Iran_Hasanlu_IA,Hasanlu,Iran,37.005,45.459,Repulldown on 3.2M snpset,1240K,1,3.939,707251,389974,M,n/a (no relatives detected),..,..,421,U3b3,"[0.980,0.994]",0.16,0.425,ds.minus,S4356.E1.L1,PASS,..,
I4357_noUDG,I4357,60-20-231 (Box 21),petrous,2022,LazaridisAlpaslanRoodenbergScience2022,Direct: IntCal20,2821,28,"925-826 calBCE (2740±20 BP, PSUAMS-2959)",..,Iran_Hasanlu_IA,Hasanlu,Iran,37.005,45.459,Repulldown on 3.2M snpset,1240K,1,3.823,722152,397186,F,n/a (no relatives detected),n/a (female),n/a (female),340,H13a,"[0.962,0.988]",0.251,0.015,ds.minus,S4357.E1.L1,PASS,..,
I6388,I6388,HSNL_103; 58-4-103,petrous,2022,LazaridisAlpaslanRoodenbergScience2022,Direct: IntCal20,3015,41,"1190-999 calBCE (2885±20 BP, PSUAMS-2813)",..,Iran_Hasanlu_IA,Hasanlu,Iran,37.005,45.459,Repulldown on 3.2M snpset,1240K,1,1.768356,768696,410046,M,n/a (no relatives detected),..,..,71,J1d1b1,"[0.979,0.992]",0.133,0.416,ds.half,S6388.E1.L1,PASS,..,
I6426,I6426,HSNL_235; 60-20-235,petrous,2022,LazaridisAlpaslanRoodenbergScience2022,Direct: IntCal20,3198,49,"1377-1130 calBCE (3005±20 BP, PSUAMS-2814)",..,Iran_Hasanlu_IA,Hasanlu,Iran,37.005,45.459,Repulldown on 3.2M snpset,1240K,1,0.088386,99346,52590,M,n/a (no relatives detected),..,..,6.3,U2d1,"[0.931,0.968]",0.078,0.411,ds.half,S6426.E1.L1,PASS,"mtcontam=[0.931,0.968]",
I6428,I6428,HSNL_730; 65-31-730,petrous,2022,LazaridisAlpaslanRoodenbergScience2022,Direct: IntCal20,2977,44,"1115-932 calBCE (2860±20 BP, PSUAMS-2617)",..,Iran_Hasanlu_IA,Hasanlu,Iran,37.005,45.459,Repulldown on 3.2M snpset,1240K,1,3.807963,885658,478492,M,n/a (no relatives detected),..,..,277,K1a,"[0.992,0.999]",0.062,0.416,ds.half,S6428.E1.L1,PASS,..,
I6429,I6429,HSNL_739; 65-31-739,petrous,2022,LazaridisAlpaslanRoodenbergScience2022,Direct: IntCal20,2907,31,"1011-904 calBCE (2805±20 BP, PSUAMS-2618)",..,Iran_Hasanlu_IA,Hasanlu,Iran,37.005,45.459,Repulldown on 3.2M snpset,1240K,1,4.023253,893000,483314,M,n/a (no relatives detected),..,..,221,J1b1a3,"[0.994,0.999]",0.055,0.413,ds.half,S6429.E1.L1,PASS,..,
I6430,I6430,HSNL_753; 65-31-753,petrous,2022,LazaridisAlpaslanRoodenbergScience2022,Context: Archaeological - Period,2850,173,1200-600 BCE,..,Iran_Hasanlu_IA,Hasanlu,Iran,37.005,45.459,Repulldown on 3.2M snpset,1240K,1,2.915592,862035,462947,M,n/a (no relatives detected),..,..,111,U1a1,"[0.990,0.997]",0.107,0.418,ds.half,S6430.E1.L1,PASS,"Xcontam=[0.005,0.01]",
I6431,I6431,HSNL_754; 65-31-754,petrous,2022,LazaridisAlpaslanRoodenbergScience2022,Direct: IntCal20,3022,42,"1192-1005 calBCE (2890±20 BP, PSUAMS-2619)",..,Iran_Hasanlu_IA,Hasanlu,Iran,37.005,45.459,Repulldown on 3.2M snpset,1240K,1,0.71677,511733,272925,M,n/a (no relatives detected),..,..,76.9,H2a,"[0.984,0.995]",0.134,0.424,ds.half,S6431.E1.L1,PASS,..,
I6432,I6432,HSNL_780; 65-31-780,petrous,2022,LazaridisAlpaslanRoodenbergScience2022,Direct: IntCal20,3128,42,"1262-1116 calBCE (2965±20 BP, PSUAMS-2620)",..,Iran_Hasanlu_IA,Hasanlu,Iran,37.005,45.459,Repulldown on 3.2M snpset,1240K,1,3.287239,859366,463329,F,n/a (no relatives detected),n/a (female),n/a (female),217,J1d3a,"[0.992,0.999]",0.068,0.016,ds.half,S6432.E1.L1,PASS,..,
I4099_noUDG,I4099,HSNL749; 65-31-749,petrous,2022,LazaridisAlpaslanRoodenbergScience2022,Direct: IntCal20,3151,52,"1369-1117 calBCE (2980±25 BP, PSUAMS-1947)",..,Iran_Hasanlu_IA_noUDG,Hasanlu,Iran,37.005,45.459,1240K pulldown padded to 3.2M snpset,1240K,6,3.89,993579,528750,F,n/a (no relatives detected),n/a (female),n/a (female),76.241958,T1a10,"[0.992,1]",..,..,"ds.minus,ds.minus,ds.half,ds.half,ds.half,ds.half","S4099.E1.L1,S4099.E1.L2,S4099.E1.L3,S4099.E1.L4,S4099.E1.L5,S4099.E1.L6",PASS_WHY_COV_LESS_THAN_UDG_FULLY_TREATED_VERSION,..,
I4100_noUDG,I4100,HSNL302; 63-5-302,petrous,2022,LazaridisAlpaslanRoodenbergScience2022,Direct: IntCal20,2911,31,"1012-906 calBCE (2810±20 BP, PSUAMS-1946)",..,Iran_Hasanlu_IA_noUDG,Hasanlu,Iran,37.005,45.459,1240K pulldown padded to 3.2M snpset,1240K,3,12.549,1016148,545155,F,n/a (no relatives detected),n/a (female),n/a (female),573.664192,U5a2b,"[0.96,0.99]",..,..,"ds.minus,ds.minus,ds.half","S4100.E1.L1,S4100.E1.L2,S4100.E1.L3",PASS_WHY_COV_LESS_THAN_UDG_FULLY_TREATED_VERSION,..,
I4232_noUDG,I4232,65-31-792 (Box 71),petrous,2022,LazaridisAlpaslanRoodenbergScience2022,Direct: IntCal20,2824,30,"928-827 calBCE (2745±20 BP, PSUAMS-3181)",..,Iran_Hasanlu_IA_noUDG,Hasanlu,Iran,37.005,45.459,1240K pulldown padded to 3.2M snpset,1240K,2,6.338,950152,513303,M,n/a (no relatives detected),..,..,749.547649,H13a2c,"[0.974,0.995]",..,..,"ds.minus,ds.half","S4232.E1.L1,S4232.E1.L2",PASS_WHY_COV_LESS_THAN_UDG_FULLY_TREATED_VERSION,..,
